i	decade	genre	gender	count	percent
1	1950	Adventure	Female	3	0.111111111111
3	1950	Domestic	Female	11	0.611111111111
5	1950	Fantasy/Scifi	Female	1	0.166666666667
7	1950	Historical	Female	7	0.368421052632
9	1950	Horror/Paranormal	Female	1	1.0
10	1950	Mystery	Female	2	0.181818181818
12	1950	Other	Female	7	0.269230769231
14	1950	Romance	Female	13	0.361111111111
16	1950	Spy/Politics	Female	5	0.238095238095
18	1950	Suspense	Female	1	0.5
25	1950	Literary/None	Female	156	0.263513513514
31	1960	Domestic	Female	1	0.1
34	1960	Historical	Female	2	0.25
36	1960	Horror/Paranormal	Female	1	0.333333333333
39	1960	Mystery	Female	12	0.545454545455
41	1960	Other	Female	6	0.24
44	1960	Romance	Female	13	0.684210526316
47	1960	Spy/Politics	Female	1	0.05
49	1960	Suspense	Female	1	0.5
54	1960	Literary/None	Female	82	0.242603550296
57	1970	Domestic	Female	4	0.266666666667
60	1970	Historical	Female	1	0.125
63	1970	Mystery	Female	20	0.4
65	1970	Other	Female	3	0.25
67	1970	Romance	Female	10	0.588235294118
70	1970	Spy/Politics	Female	2	0.0588235294118
72	1970	Suspense	Female	1	1.0
75	1970	Literary/None	Female	74	0.2890625
78	1980	Adventure	Female	4	0.121212121212
81	1980	Domestic	Female	19	0.76
84	1980	Fantasy/Scifi	Female	12	0.15
86	1980	Historical	Female	10	0.47619047619
88	1980	Horror/Paranormal	Female	4	0.1
90	1980	Mystery	Female	14	0.215384615385
92	1980	Other	Female	1	0.037037037037
94	1980	Romance	Female	39	0.847826086957
96	1980	Spy/Politics	Female	3	0.0625
101	1980	Literary/None	Female	95	0.281899109792
104	1990	Adventure	Female	5	0.102040816327
107	1990	Domestic	Female	32	0.761904761905
110	1990	Fantasy/Scifi	Female	11	0.150684931507
112	1990	Historical	Female	11	0.478260869565
114	1990	Horror/Paranormal	Female	14	0.285714285714
117	1990	Mystery	Female	59	0.44696969697
120	1990	Other	Female	6	0.109090909091
123	1990	Romance	Female	65	0.802469135802
125	1990	Spy/Politics	Female	1	0.037037037037
127	1990	Suspense	Female	3	0.166666666667
131	1990	Literary/None	Female	161	0.358574610245
136	2000	Adventure	Female	3	0.157894736842
138	2000	Domestic	Female	67	0.770114942529
141	2000	Fantasy/Scifi	Female	6	0.0882352941176
143	2000	Historical	Female	15	0.535714285714
145	2000	Horror/Paranormal	Female	28	0.56
148	2000	Mystery	Female	70	0.479452054795
150	2000	Other	Female	16	0.290909090909
152	2000	Romance	Female	47	0.824561403509
154	2000	Spy/Politics	Female	1	0.025641025641
156	2000	Suspense	Female	23	0.244680851064
161	2000	Literary/None	Female	457	0.471620227038
165	2010	Adventure	Female	1	0.1
167	2010	Domestic	Female	28	0.717948717949
169	2010	Fantasy/Scifi	Female	6	0.1875
171	2010	Historical	Female	21	0.84
173	2010	Horror/Paranormal	Female	21	0.488372093023
176	2010	Mystery	Female	45	0.428571428571
178	2010	Other	Female	6	0.24
181	2010	Romance	Female	31	0.815789473684
183	2010	Spy/Politics	Female	1	0.03125
186	2010	Suspense	Female	17	0.207317073171
192	2010	Literary/None	Female	469	0.46298124383
